cluster,nt,uniport,"sig  (foldchange>|4|, padj<0.001)",,,,
Cluster-105675.0_TRINITY_DN209436_c0_g1,XM_006300483.2,,nochange,,,,
Cluster-90.107_TRINITY_DN210897_c3_g2,XM_006300461.2,,nochange,,,,
Cluster-112063.18_TRINITY_DN211129_c4_g6,XM_006299515.2,,nochange,,,,
Cluster-114418.1_TRINITY_DN198104_c4_g2,XM_006298518.2,,nochange,,,,
Cluster-97392.0_TRINITY_DN200251_c5_g1,XM_006298420.2,,nochange,,,,
Cluster-97392.2_TRINITY_DN200251_c5_g1,XM_006298420.2,,nochange,,,,
Cluster-85960.0_TRINITY_DN203492_c5_g1,XM_006298245.2,,nochange,,,,
Cluster-111563.0_TRINITY_DN206774_c3_g3,XM_006297787.2,,nochange,,,,
Cluster-91385.0_TRINITY_DN189109_c0_g1,XM_006297047.2,,nochange,,,,
Cluster-96532.0_TRINITY_DN203949_c0_g1,XM_006296980.2,,nochange,,,,
Cluster-64616.22_TRINITY_DN198306_c2_g7,XM_006296077.2,,nochange,,,,
Cluster-91141.0_TRINITY_DN195211_c1_g2,XM_006295228.2,,nochange,,,,
Cluster-90380.4_TRINITY_DN198006_c2_g2,XM_006295066.2,,nochange,,,,
Cluster-90989.0_TRINITY_DN190559_c0_g1,XM_006294212.2,,nochange,,,,
Cluster-90077.4_TRINITY_DN210394_c2_g1,XM_006294137.2,,nochange,,,,
Cluster-90077.3_TRINITY_DN210394_c2_g1,XM_006294137.2,,nochange,,,,
Cluster-100165.2_TRINITY_DN210816_c2_g4,XM_006293471.2,,nochange,,,,
Cluster-100731.17_TRINITY_DN202917_c7_g2,XM_006291948.2,,nochange,,,,
Cluster-99401.0_TRINITY_DN198145_c0_g1,XM_006291093.2,,nochange,,,,
Cluster-103272.0_TRINITY_DN206006_c0_g1,XM_006290897.2,,nochange,,,,
Cluster-112957.1_TRINITY_DN208579_c1_g1,XM_006290867.2,,nochange,,,,
Cluster-71804.21_TRINITY_DN204721_c3_g1,XM_006290576.2,,nochange,,,,
Cluster-84308.0_TRINITY_DN211212_c4_g6,XM_006290003.2,,nochange,,,,
Cluster-106652.0_TRINITY_DN199657_c1_g5,XM_006290003.2,,nochange,,,,
Cluster-62328.0_TRINITY_DN203985_c1_g4,XM_006289018.2,,nochange,,,,
Cluster-108441.18_TRINITY_DN195055_c0_g1,XM_006288852.2,,nochange,,,,
Cluster-90935.7_TRINITY_DN197850_c2_g3,XM_006288677.2,,nochange,,,,
Cluster-90935.12_TRINITY_DN206462_c0_g1,XM_006288677.2,,nochange,,,,
Cluster-110184.1_TRINITY_DN201701_c2_g1,XM_006288672.2,,nochange,,,,
Cluster-110344.0_TRINITY_DN206702_c2_g2,XM_006288520.2,,nochange,,,,
Cluster-16282.0_TRINITY_DN198198_c3_g1,XM_006288061.2,,nochange,,,,
Cluster-107925.1_TRINITY_DN205434_c0_g1,XM_006287203.2,,nochange,,,,
Cluster-103485.2_TRINITY_DN203370_c0_g1,XM_006282218.2,,nochange,,,,
Cluster-108817.2_TRINITY_DN195029_c2_g1,XM_006281160.2,,nochange,,,,
Cluster-94217.0_TRINITY_DN202928_c2_g6,XM_006281109.2,,nochange,,,,
Cluster-109323.4_TRINITY_DN203556_c2_g1,XM_006281049.2,,nochange,,,,
Cluster-97995.5_TRINITY_DN210366_c2_g1,XM_006279824.2,,nochange,,,,
Cluster-114011.0_TRINITY_DN196364_c1_g1,XM_006279377.2,,nochange,,,,
Cluster-72891.4_TRINITY_DN207642_c3_g2,XM_006231971.3,,nochange,,,,
Cluster-92605.4_TRINITY_DN202248_c1_g1,XM_006174962.2,,nochange,,,,
Cluster-62063.0_TRINITY_DN203039_c5_g1,XM_006171124.2,,nochange,,,,
Cluster-114551.2_TRINITY_DN208204_c1_g1,XM_006160245.1,,nochange,,,,
Cluster-114551.3_TRINITY_DN208204_c1_g1,XM_006160245.1,,nochange,,,,
Cluster-112160.0_TRINITY_DN196985_c7_g3,XM_006131200.3,,nochange,,,,
Cluster-60334.0_TRINITY_DN206405_c1_g1,XM_006091320.3,,nochange,,,,
Cluster-68186.1_TRINITY_DN194438_c8_g5,XM_006035208.3,,nochange,,,,
Cluster-80750.0_TRINITY_DN166490_c0_g1,XM_006023456.3,,nochange,,,,
Cluster-76239.2_TRINITY_DN209825_c0_g3,XM_006005834.2,,nochange,,,,
Cluster-20386.28_TRINITY_DN209793_c8_g2,XM_005999042.2,,nochange,,,,
Cluster-36226.0_TRINITY_DN205327_c2_g2,XM_005979424.1,,nochange,,,,
Cluster-58236.0_TRINITY_DN208229_c8_g1,XM_005963873.1,,nochange,,,,
Cluster-69854.0_TRINITY_DN209510_c2_g1,XM_005952667.1,,nochange,,,,
Cluster-94040.0_TRINITY_DN201722_c2_g1,XM_005885198.2,,nochange,,,,
Cluster-76550.0_TRINITY_DN191531_c3_g3,XM_005851779.1,,nochange,,,,
Cluster-59984.0_TRINITY_DN191531_c3_g5,XM_005851779.1,,nochange,,,,
Cluster-36907.0_TRINITY_DN146545_c0_g2,XM_005850245.1,,nochange,,,,
Cluster-59807.0_TRINITY_DN195779_c1_g1,XM_005849278.1,,nochange,,,,
Cluster-100344.0_TRINITY_DN206781_c0_g2,XM_005848559.1,,nochange,,,,
Cluster-50070.0_TRINITY_DN127723_c0_g1,XM_005846849.1,,nochange,,,,
Cluster-60226.0_TRINITY_DN209430_c5_g1,XM_005846716.1,,nochange,,,,
Cluster-25486.0_TRINITY_DN200993_c1_g1,XM_005846245.1,,nochange,,,,
Cluster-34590.0_TRINITY_DN69501_c0_g1,XM_005834928.1,,nochange,,,,
Cluster-47546.2_TRINITY_DN204788_c4_g1,XM_005833309.1,,nochange,,,,
Cluster-78850.0_TRINITY_DN191383_c0_g1,XM_005831352.1,,nochange,,,,
Cluster-99749.0_TRINITY_DN202459_c2_g2,XM_005827284.1,,nochange,,,,
Cluster-4292.0_TRINITY_DN185079_c1_g1,XM_005825440.1,,nochange,,,,
Cluster-7312.0_TRINITY_DN207080_c3_g6,XM_005825411.1,,nochange,,,,
Cluster-71174.0_TRINITY_DN194403_c3_g1,XM_005823260.1,,nochange,,,,
Cluster-94796.0_TRINITY_DN207191_c3_g2,XM_005820133.1,,nochange,,,,
Cluster-48519.0_TRINITY_DN197204_c1_g1,XM_005815328.2,,nochange,,,,
Cluster-68752.4_TRINITY_DN207728_c5_g1,XM_005813513.3,,nochange,,,,
Cluster-60049.0_TRINITY_DN210505_c0_g4,XM_005812581.3,,nochange,,,,
Cluster-62965.0_TRINITY_DN202957_c5_g2,XM_005806435.2,,nochange,,,,
Cluster-47272.0_TRINITY_DN192563_c7_g2,XM_005793268.1,,nochange,,,,
Cluster-46194.0_TRINITY_DN169918_c0_g1,XM_005793059.1,,nochange,,,,
Cluster-17861.0_TRINITY_DN199939_c2_g2,XM_005791537.1,,nochange,,,,
Cluster-64365.1866_TRINITY_DN201973_c1_g2,XM_005770579.1,,nochange,,,,
Cluster-109084.0_TRINITY_DN206905_c3_g1,XM_005769346.1,,nochange,,,,
Cluster-109084.4_TRINITY_DN206905_c3_g1,XM_005769346.1,,nochange,,,,
Cluster-109084.3_TRINITY_DN206905_c3_g1,XM_005769346.1,,nochange,,,,
Cluster-44395.0_TRINITY_DN205651_c1_g2,XM_005767766.1,,nochange,,,,
Cluster-61777.0_TRINITY_DN198518_c9_g5,XM_005767247.1,,nochange,,,,
Cluster-54809.0_TRINITY_DN196980_c3_g1,XM_005764956.1,,nochange,,,,
Cluster-64365.1828_TRINITY_DN193061_c2_g1,XM_005764902.1,,nochange,,,,
Cluster-64365.2355_TRINITY_DN197308_c5_g3,XM_005764902.1,,nochange,,,,
Cluster-64365.1563_TRINITY_DN194162_c2_g1,XM_005764902.1,,nochange,,,,
Cluster-68599.0_TRINITY_DN197484_c3_g1,XM_005759334.1,,nochange,,,,
Cluster-15088.1_TRINITY_DN195859_c2_g1,XM_005716243.1,,nochange,,,,
Cluster-15088.0_TRINITY_DN195859_c2_g2,XM_005716243.1,,nochange,,,,
Cluster-64526.1_TRINITY_DN197793_c7_g1,XM_005711683.1,,nochange,,,,
Cluster-61783.0_TRINITY_DN194899_c6_g1,XM_005710551.1,,nochange,,,,
Cluster-18452.30_TRINITY_DN197474_c3_g1,XM_005651403.1,,nochange,,,,
Cluster-58821.1_TRINITY_DN203679_c2_g4,XM_005610115.3,,nochange,,,,
Cluster-51434.9_TRINITY_DN206316_c2_g2,XM_005599652.3,,nochange,,,,
Cluster-49801.0_TRINITY_DN199329_c2_g1,XM_005536482.1,,nochange,,,,
Cluster-78236.0_TRINITY_DN198524_c3_g1,XM_005536482.1,,nochange,,,,
Cluster-84139.104_TRINITY_DN201222_c2_g1,XM_005533998.2,,nochange,,,,
Cluster-45053.0_TRINITY_DN179214_c0_g1,XM_005496596.2,,nochange,,,,
Cluster-40521.0_TRINITY_DN201517_c3_g1,XM_005448561.3,,nochange,,,,
Cluster-110510.2_TRINITY_DN208296_c5_g1,XM_005439451.2,,nochange,,,,
Cluster-55644.0_TRINITY_DN194841_c4_g2,XM_005405852.2,,nochange,,,,
Cluster-52606.1_TRINITY_DN200213_c0_g5,XM_005402988.2,,nochange,,,,
Cluster-52606.11_TRINITY_DN200213_c0_g5,XM_005402988.2,,nochange,,,,
Cluster-82451.1_TRINITY_DN204106_c1_g2,XM_005356786.3,,nochange,,,,
Cluster-51434.8_TRINITY_DN196031_c2_g2,XM_005223762.3,,nochange,,,,
Cluster-66276.4_TRINITY_DN207197_c2_g3,XM_005184455.3,,nochange,,,,
Cluster-39025.0_TRINITY_DN193949_c4_g4,XM_005183431.3,,nochange,,,,
Cluster-43097.9_TRINITY_DN200391_c4_g2,XM_005183170.3,,nochange,,,,
Cluster-20386.10_TRINITY_DN202465_c6_g1,XM_005182520.3,,nochange,,,,
Cluster-20386.25_TRINITY_DN202465_c6_g1,XM_005182520.3,,nochange,,,,
Cluster-52207.0_TRINITY_DN194207_c1_g7,XM_005180759.3,,nochange,,,,
Cluster-71677.0_TRINITY_DN202288_c4_g1,XM_005177038.3,,nochange,,,,
Cluster-24849.0_TRINITY_DN198087_c1_g1,XM_005111253.2,,nochange,,,,
Cluster-25743.3_TRINITY_DN200368_c0_g3,XM_005103898.2,,nochange,,,,
Cluster-26237.0_TRINITY_DN195310_c2_g1,XM_005103083.2,,nochange,,,,
Cluster-75149.0_TRINITY_DN198851_c4_g1,XM_005096337.2,,nochange,,,,
Cluster-63873.0_TRINITY_DN196971_c5_g3,XM_005095879.2,,nochange,,,,
Cluster-72841.0_TRINITY_DN206041_c1_g6,XM_005093379.2,,nochange,,,,
Cluster-42970.0_TRINITY_DN206450_c3_g1,XM_005092374.2,,nochange,,,,
Cluster-83892.3_TRINITY_DN207207_c3_g1,XM_005090499.2,,nochange,,,,
Cluster-88528.0_TRINITY_DN209322_c0_g5,XM_005088832.2,,nochange,,,,
Cluster-103297.0_TRINITY_DN207658_c2_g1,XM_005084115.3,,nochange,,,,
Cluster-103297.3_TRINITY_DN207658_c2_g1,XM_005084115.3,,nochange,,,,
Cluster-103297.1_TRINITY_DN207658_c2_g1,XM_005084115.3,,nochange,,,,
Cluster-59018.0_TRINITY_DN190856_c3_g2,XM_005048986.2,,nochange,,,,
Cluster-26139.0_TRINITY_DN198058_c5_g4,XM_005042109.1,,nochange,,,,
Cluster-52333.3_TRINITY_DN197551_c3_g6,XM_005030825.3,,nochange,,,,
Cluster-64728.0_TRINITY_DN209692_c8_g3,XM_004998541.1,,nochange,,,,
Cluster-69422.2_TRINITY_DN198647_c1_g3,XM_004998019.1,,nochange,,,,
Cluster-49438.0_TRINITY_DN194130_c9_g8,XM_004997391.1,,nochange,,,,
Cluster-54314.0_TRINITY_DN207810_c1_g3,XM_004996728.1,,nochange,,,,
Cluster-32019.0_TRINITY_DN202378_c0_g1,XM_004995599.1,,nochange,,,,
Cluster-65907.0_TRINITY_DN193245_c8_g2,XM_004993793.1,,nochange,,,,
Cluster-67165.0_TRINITY_DN195652_c5_g1,XM_004993444.1,,nochange,,,,
Cluster-56665.0_TRINITY_DN164856_c0_g1,XM_004992615.1,,nochange,,,,
Cluster-52188.0_TRINITY_DN199053_c12_g3,XM_004992587.1,,nochange,,,,
Cluster-62552.5_TRINITY_DN211231_c6_g1,XM_004992587.1,,nochange,,,,
Cluster-43048.0_TRINITY_DN203423_c1_g1,XM_004991838.1,,nochange,,,,
Cluster-67050.0_TRINITY_DN195117_c3_g1,XM_004991833.1,,nochange,,,,
Cluster-54608.0_TRINITY_DN222211_c0_g1,XM_004991639.1,,nochange,,,,
Cluster-68144.0_TRINITY_DN204320_c7_g1,XM_004990618.1,,nochange,,,,
Cluster-60412.0_TRINITY_DN204788_c10_g1,XM_004989600.1,,nochange,,,,
Cluster-79362.6_TRINITY_DN197204_c1_g6,XM_004989187.1,,nochange,,,,
Cluster-79362.4_TRINITY_DN195071_c4_g1,XM_004989187.1,,nochange,,,,
Cluster-92890.0_TRINITY_DN209723_c0_g1,XM_004988966.1,,nochange,,,,
Cluster-100201.2_TRINITY_DN197939_c1_g2,XM_004988767.1,,nochange,,,,
Cluster-84139.8_TRINITY_DN195794_c9_g1,XM_004987583.1,,nochange,,,,
Cluster-84139.9_TRINITY_DN195794_c9_g1,XM_004987583.1,,nochange,,,,
Cluster-111354.3_TRINITY_DN202845_c4_g5,XM_004983623.4,,nochange,,,,
Cluster-105343.2_TRINITY_DN210411_c1_g2,XM_004982030.4,,nochange,,,,
Cluster-104967.0_TRINITY_DN210959_c2_g2,XM_004982000.4,,nochange,,,,
Cluster-109399.0_TRINITY_DN208628_c0_g4,XM_004981887.3,,nochange,,,,
Cluster-101457.13_TRINITY_DN200727_c1_g1,XM_004981874.3,,nochange,,,,
Cluster-93228.2_TRINITY_DN190342_c0_g3,XM_004981753.2,,nochange,,,,
Cluster-100517.10_TRINITY_DN200084_c1_g2,XM_004981420.3,,nochange,,,,
Cluster-82623.1_TRINITY_DN202196_c0_g1,XM_004979499.3,,nochange,,,,
Cluster-106143.0_TRINITY_DN206363_c1_g2,XM_004976559.3,,nochange,,,,
Cluster-91476.7_TRINITY_DN192740_c0_g2,XM_004975376.4,,nochange,,,,
Cluster-100061.3_TRINITY_DN211183_c2_g4,XM_004974226.4,,nochange,,,,
Cluster-100061.3_TRINITY_DN211183_c2_g3,XM_004974226.4,,nochange,,,,
Cluster-90380.9_TRINITY_DN198006_c2_g2,XM_004970304.4,,nochange,,,,
Cluster-100479.9_TRINITY_DN204000_c4_g1,XM_004969671.2,,nochange,,,,
Cluster-61121.0_TRINITY_DN20987_c0_g1,XM_004969484.3,,nochange,,,,
Cluster-64365.1887_TRINITY_DN194785_c5_g6,XM_004967679.3,,nochange,,,,
Cluster-101495.2_TRINITY_DN202795_c1_g1,XM_004965953.3,,nochange,,,,
Cluster-112595.0_TRINITY_DN201388_c5_g1,XM_004965866.3,,nochange,,,,
Cluster-11670.1_TRINITY_DN208685_c3_g5,XM_004965159.3,,nochange,,,,
Cluster-105153.9_TRINITY_DN210595_c7_g1,XM_004963735.2,,nochange,,,,
Cluster-89136.1_TRINITY_DN198362_c0_g1,XM_004963712.3,,nochange,,,,
Cluster-106858.0_TRINITY_DN209318_c2_g2,XM_004962430.4,,nochange,,,,
Cluster-106271.2_TRINITY_DN208551_c5_g1,XM_004960071.2,,nochange,,,,
Cluster-99848.0_TRINITY_DN210867_c0_g3,XM_004951777.4,,nochange,,,,
Cluster-110735.1_TRINITY_DN200878_c2_g1,XM_004949155.3,,nochange,,,,
Cluster-60275.0_TRINITY_DN188433_c0_g1,XM_004925498.3,,nochange,,,,
Cluster-33359.6_TRINITY_DN200607_c2_g1,XM_004874163.3,,nochange,,,,
Cluster-59469.0_TRINITY_DN196361_c1_g2,XM_004833621.1,,nochange,,,,
Cluster-14826.0_TRINITY_DN173348_c0_g1,XM_004833549.1,,nochange,,,,
Cluster-38875.2_TRINITY_DN198463_c2_g1,XM_004709614.1,,nochange,,,,
Cluster-42714.0_TRINITY_DN56433_c0_g1,XM_004701967.1,,nochange,,,,
Cluster-29376.4_TRINITY_DN201720_c4_g1,XM_004694853.2,,nochange,,,,
Cluster-29419.0_TRINITY_DN194546_c2_g3,XM_004674176.1,,nochange,,,,
Cluster-66370.1_TRINITY_DN198752_c0_g1,XM_004620186.1,,nochange,,,,
Cluster-60668.0_TRINITY_DN194595_c0_g2,XM_004616609.1,,nochange,,,,
Cluster-42159.0_TRINITY_DN194992_c4_g3,XM_004612509.2,,nochange,,,,
Cluster-7959.0_TRINITY_DN196000_c0_g1,XM_004608198.1,,nochange,,,,
Cluster-76622.2_TRINITY_DN195424_c3_g3,XM_004603791.1,,nochange,,,,
Cluster-51434.6_TRINITY_DN210570_c2_g2,XM_004596506.2,,nochange,,,,
Cluster-50626.0_TRINITY_DN202034_c6_g3,XM_004596505.1,,nochange,,,,
Cluster-4239.2_TRINITY_DN196958_c0_g1,XM_004580760.2,,nochange,,,,
Cluster-65719.0_TRINITY_DN201101_c6_g3,XM_004534597.3,,nochange,,,,
Cluster-80646.0_TRINITY_DN203422_c2_g2,XM_004533274.3,,nochange,,,,
Cluster-57523.0_TRINITY_DN200291_c3_g3,XM_004531435.3,,nochange,,,,
Cluster-45018.0_TRINITY_DN210049_c7_g1,XM_004531435.3,,nochange,,,,
Cluster-77165.1_TRINITY_DN197517_c2_g1,XM_004530976.2,,nochange,,,,
Cluster-77165.3_TRINITY_DN197517_c2_g1,XM_004530976.2,,nochange,,,,
Cluster-33691.0_TRINITY_DN200850_c3_g1,XM_004529183.3,,nochange,,,,
Cluster-70459.0_TRINITY_DN199876_c5_g2,XM_004526088.3,,nochange,,,,
Cluster-48048.0_TRINITY_DN193473_c0_g1,XM_004518947.3,,nochange,,,,
Cluster-110219.0_TRINITY_DN206516_c1_g1,XM_004516566.2,,nochange,,,,
Cluster-112653.11_TRINITY_DN210014_c0_g1,XM_004516522.2,,nochange,,,,
Cluster-112653.9_TRINITY_DN210014_c0_g1,XM_004516522.2,,nochange,,,,
Cluster-98521.0_TRINITY_DN203940_c4_g4,XM_004515191.2,,nochange,,,,
Cluster-104432.0_TRINITY_DN204272_c1_g1,XM_004515176.2,,nochange,,,,
Cluster-112168.2_TRINITY_DN206312_c2_g1,XM_004515155.2,,nochange,,,,
Cluster-107084.0_TRINITY_DN196205_c1_g5,XM_004515049.2,,nochange,,,,
Cluster-106492.0_TRINITY_DN210970_c0_g1,XM_004514313.2,,nochange,,,,
Cluster-42374.6_TRINITY_DN200485_c7_g1,XM_004513219.2,,nochange,,,,
Cluster-107095.2_TRINITY_DN203706_c1_g2,XM_004512952.2,,nochange,,,,
Cluster-107095.5_TRINITY_DN197444_c1_g1,XM_004512952.2,,nochange,,,,
Cluster-98650.1_TRINITY_DN204925_c0_g2,XM_004512886.2,,nochange,,,,
Cluster-104499.1_TRINITY_DN201662_c2_g1,XM_004512625.2,,nochange,,,,
Cluster-98932.14_TRINITY_DN204978_c1_g3,XM_004512483.2,,nochange,,,,
Cluster-88512.7_TRINITY_DN202867_c2_g3,XM_004512453.2,,nochange,,,,
Cluster-100444.6_TRINITY_DN205023_c0_g3,XM_004512435.2,,nochange,,,,
Cluster-89208.5_TRINITY_DN205072_c5_g1,XM_004512433.2,,nochange,,,,
Cluster-100901.3_TRINITY_DN211179_c2_g1,XM_004512399.2,,nochange,,,,
Cluster-96600.0_TRINITY_DN188136_c0_g1,XM_004512313.2,,nochange,,,,
Cluster-112239.4_TRINITY_DN209313_c1_g2,XM_004512180.2,,nochange,,,,
Cluster-84029.0_TRINITY_DN191577_c0_g2,XM_004511956.2,,nochange,,,,
Cluster-113411.2_TRINITY_DN205979_c0_g2,XM_004511686.2,,nochange,,,,
Cluster-109001.0_TRINITY_DN210197_c0_g2,XM_004511524.2,,nochange,,,,
Cluster-110488.3_TRINITY_DN208007_c2_g2,XM_004511074.2,,nochange,,,,
Cluster-110718.0_TRINITY_DN209780_c1_g2,XM_004510725.2,,nochange,,,,
Cluster-102863.7_TRINITY_DN206105_c0_g2,XM_004510655.2,,nochange,,,,
Cluster-113777.0_TRINITY_DN191811_c0_g1,XM_004510368.2,,nochange,,,,
Cluster-101807.1_TRINITY_DN208787_c0_g2,XM_004510285.2,,nochange,,,,
Cluster-7798.3_TRINITY_DN194424_c0_g2,XM_004510150.2,,nochange,,,,
Cluster-100104.1_TRINITY_DN206683_c4_g1,XM_004510133.2,,nochange,,,,
Cluster-114624.0_TRINITY_DN200983_c0_g1,XM_004508745.2,,nochange,,,,
Cluster-83499.3_TRINITY_DN202143_c0_g3,XM_004508738.2,,nochange,,,,
Cluster-64365.1797_TRINITY_DN211012_c0_g2,XM_004508415.1,,nochange,,,,
Cluster-85616.3_TRINITY_DN202167_c2_g1,XM_004508347.2,,nochange,,,,
Cluster-95125.13_TRINITY_DN204370_c7_g4,XM_004508121.2,,nochange,,,,
Cluster-112826.2_TRINITY_DN196237_c0_g2,XM_004507799.2,,nochange,,,,
Cluster-95128.4_TRINITY_DN207918_c1_g2,XM_004507700.2,,nochange,,,,
Cluster-112490.12_TRINITY_DN208149_c0_g2,XM_004507468.2,,nochange,,,,
Cluster-101294.0_TRINITY_DN205790_c3_g1,XM_004507327.1,,nochange,,,,
Cluster-108011.0_TRINITY_DN198609_c4_g4,XM_004507149.2,,nochange,,,,
Cluster-108312.0_TRINITY_DN204802_c2_g1,XM_004506712.2,,nochange,,,,
Cluster-108312.1_TRINITY_DN210776_c0_g1,XM_004506712.2,,nochange,,,,
Cluster-107995.0_TRINITY_DN197927_c0_g1,XM_004506666.2,,nochange,,,,
Cluster-64365.833_TRINITY_DN210792_c1_g1,XM_004505908.2,,nochange,,,,
Cluster-108905.0_TRINITY_DN201144_c0_g1,XM_004505763.2,,nochange,,,,
Cluster-105320.0_TRINITY_DN194397_c6_g1,XM_004505462.2,,nochange,,,,
Cluster-103064.0_TRINITY_DN209276_c0_g2,XM_004505416.2,,nochange,,,,
Cluster-90734.1_TRINITY_DN201358_c3_g2,XM_004504651.2,,nochange,,,,
Cluster-106148.2_TRINITY_DN206911_c4_g2,XM_004504499.2,,nochange,,,,
Cluster-102915.1_TRINITY_DN207112_c0_g1,XM_004504324.2,,nochange,,,,
Cluster-93255.3_TRINITY_DN194817_c2_g1,XM_004504310.2,,nochange,,,,
Cluster-113742.2_TRINITY_DN207603_c0_g1,XM_004504243.2,,nochange,,,,
Cluster-96917.0_TRINITY_DN201203_c2_g1,XM_004504096.2,,nochange,,,,
Cluster-114211.4_TRINITY_DN207476_c2_g2,XM_004504003.1,,nochange,,,,
Cluster-107333.6_TRINITY_DN210147_c3_g4,XM_004503434.2,,nochange,,,,
Cluster-103811.0_TRINITY_DN208178_c1_g1,XM_004503378.2,,nochange,,,,
Cluster-100201.0_TRINITY_DN204763_c5_g1,XM_004503263.2,,nochange,,,,
Cluster-94445.0_TRINITY_DN204086_c1_g2,XM_004503234.2,,nochange,,,,
Cluster-91219.4_TRINITY_DN206056_c0_g2,XM_004502858.2,,nochange,,,,
Cluster-85564.0_TRINITY_DN200481_c1_g1,XM_004502335.2,,nochange,,,,
Cluster-5512.19_TRINITY_DN211160_c1_g2,XM_004502187.2,,nochange,,,,
Cluster-5512.2_TRINITY_DN208980_c1_g1,XM_004502187.2,,nochange,,,,
Cluster-5512.1_TRINITY_DN211160_c1_g3,XM_004502187.2,,nochange,,,,
Cluster-101537.1_TRINITY_DN206013_c1_g1,XM_004501844.2,,nochange,,,,
Cluster-94033.5_TRINITY_DN191728_c0_g1,XM_004501800.2,,nochange,,,,
Cluster-88558.2_TRINITY_DN201097_c2_g1,XM_004501503.2,,nochange,,,,
Cluster-53860.5_TRINITY_DN209100_c0_g2,XM_004500742.2,,nochange,,,,
Cluster-106934.1_TRINITY_DN210551_c2_g8,XM_004500609.2,,nochange,,,,
Cluster-100687.6_TRINITY_DN202043_c1_g2,XM_004500508.2,,nochange,,,,
Cluster-108439.0_TRINITY_DN205521_c9_g1,XM_004500210.2,,nochange,,,,
Cluster-104771.0_TRINITY_DN197332_c5_g4,XM_004500173.2,,nochange,,,,
Cluster-91878.5_TRINITY_DN206998_c0_g1,XM_004500008.2,,nochange,,,,
Cluster-91878.2_TRINITY_DN206998_c0_g1,XM_004500008.2,,nochange,,,,
Cluster-108347.6_TRINITY_DN206941_c3_g1,XM_004499813.2,,nochange,,,,
Cluster-107517.2_TRINITY_DN203568_c0_g2,XM_004499274.2,,nochange,,,,
Cluster-107517.3_TRINITY_DN203568_c0_g1,XM_004499274.2,,nochange,,,,
Cluster-64365.61_TRINITY_DN208380_c0_g1,XM_004499027.2,,nochange,,,,
Cluster-100540.2_TRINITY_DN202984_c0_g2,XM_004499002.2,,nochange,,,,
Cluster-100540.0_TRINITY_DN202984_c0_g2,XM_004499002.2,,nochange,,,,
Cluster-113682.0_TRINITY_DN207917_c4_g2,XM_004498898.2,,nochange,,,,
Cluster-98889.2_TRINITY_DN202414_c0_g2,XM_004497648.2,,nochange,,,,
Cluster-64365.2363_TRINITY_DN201612_c1_g1,XM_004497552.2,,nochange,,,,
Cluster-82717.15_TRINITY_DN201936_c0_g5,XM_004496940.2,,nochange,,,,
Cluster-107133.1_TRINITY_DN199517_c0_g1,XM_004496913.2,,nochange,,,,
Cluster-97750.0_TRINITY_DN205303_c2_g8,XM_004496898.2,,nochange,,,,
Cluster-109236.0_TRINITY_DN195638_c8_g1,XM_004496877.2,,nochange,,,,
Cluster-112408.0_TRINITY_DN199355_c2_g1,XM_004496820.2,,nochange,,,,
Cluster-111269.1_TRINITY_DN202510_c1_g1,XM_004496656.2,,nochange,,,,
Cluster-112422.5_TRINITY_DN202740_c6_g2,XM_004496325.2,,nochange,,,,
Cluster-100293.4_TRINITY_DN208000_c6_g1,XM_004496166.2,,nochange,,,,
Cluster-64365.2318_TRINITY_DN200553_c1_g2,XM_004495420.2,,nochange,,,,
Cluster-110702.5_TRINITY_DN208429_c0_g1,XM_004494962.1,,nochange,,,,
Cluster-111017.0_TRINITY_DN207362_c1_g1,XM_004494510.2,,nochange,,,,
Cluster-112242.4_TRINITY_DN209076_c0_g1,XM_004494483.1,,nochange,,,,
Cluster-98942.0_TRINITY_DN205655_c0_g1,XM_004494416.2,,nochange,,,,
Cluster-14280.10_TRINITY_DN198574_c1_g4,XM_004494082.2,,nochange,,,,
Cluster-97315.1_TRINITY_DN206020_c1_g1,XM_004494029.2,,nochange,,,,
Cluster-96521.1_TRINITY_DN199430_c0_g1,XM_004494013.2,,nochange,,,,
Cluster-96521.0_TRINITY_DN199430_c0_g1,XM_004494013.2,,nochange,,,,
Cluster-87235.2_TRINITY_DN201922_c2_g1,XM_004493793.2,,nochange,,,,
Cluster-97923.0_TRINITY_DN200904_c5_g1,XM_004493754.2,,nochange,,,,
Cluster-100004.0_TRINITY_DN206390_c2_g3,XM_004493142.2,,nochange,,,,
Cluster-97397.2_TRINITY_DN199955_c0_g1,XM_004493027.2,,nochange,,,,
Cluster-92347.3_TRINITY_DN194973_c0_g1,XM_004492960.2,,nochange,,,,
Cluster-103669.0_TRINITY_DN194602_c4_g2,XM_004492612.2,,nochange,,,,
Cluster-108471.6_TRINITY_DN201300_c4_g3,XM_004492125.2,,nochange,,,,
Cluster-92310.0_TRINITY_DN209756_c2_g1,XM_004492107.2,,nochange,,,,
Cluster-105556.20_TRINITY_DN201800_c0_g1,XM_004491801.2,,nochange,,,,
Cluster-106344.4_TRINITY_DN209129_c3_g1,XM_004491722.2,,nochange,,,,
Cluster-62949.0_TRINITY_DN92808_c0_g1,XM_004491711.2,,nochange,,,,
Cluster-111434.0_TRINITY_DN199065_c3_g1,XM_004491158.2,,nochange,,,,
Cluster-97199.4_TRINITY_DN199445_c4_g1,XM_004491055.2,,nochange,,,,
